age,bmi,children,region,smoker,sex,bmi_smoker,charges
46,19.95,2,northwest,no,female,0.0,9193.8385
47,24.32,0,northeast,no,female,0.0,8534.6718
52,24.86,0,southeast,no,female,0.0,27117.99378
39,34.32,5,southeast,no,female,0.0,8596.8278
54,21.47,3,northwest,no,female,0.0,12475.3513
63,41.47,0,southeast,no,male,0.0,13405.3903
22,24.3,0,southwest,no,female,0.0,2150.469
18,21.565,0,northeast,yes,male,21.565,13747.87235
40,41.23,1,northeast,no,male,0.0,6610.1097
37,34.2,1,northeast,yes,male,34.2,39047.285
34,22.42,2,northeast,no,male,0.0,27375.90478
50,37.07,1,southeast,no,male,0.0,9048.0273
49,29.925,0,northwest,no,female,0.0,8988.15875
64,39.33,0,northeast,no,female,0.0,14901.5167
46,25.8,5,southwest,no,male,0.0,10096.97
50,32.205,0,northwest,no,male,0.0,8835.26495
36,33.4,2,southwest,yes,male,33.4,38415.474
25,26.22,0,northeast,no,male,0.0,2721.3208
51,37.73,1,southeast,no,female,0.0,9877.6077
52,41.8,2,southeast,yes,male,41.8,47269.854
30,27.645,1,northeast,no,male,0.0,4237.12655
25,35.625,0,northwest,no,male,0.0,2534.39375
18,31.92,0,northeast,no,female,0.0,2205.9808
57,28.1,0,southwest,no,male,0.0,10965.446
27,17.955,2,northeast,yes,female,17.955,15006.57945
48,35.625,4,northeast,no,male,0.0,10736.87075
45,24.31,5,southeast,no,male,0.0,9788.8659
54,24.035,0,northeast,no,male,0.0,10422.91665
49,37.51,2,southeast,no,male,0.0,9304.7019
26,19.8,1,southwest,no,female,0.0,3378.91
22,28.05,0,southeast,no,female,0.0,2155.6815
24,40.15,0,southeast,yes,male,40.15,38126.2465
34,30.8,0,southwest,yes,male,30.8,35491.64
39,45.43,2,southeast,no,male,0.0,6356.2707
19,30.59,2,northwest,no,female,0.0,24059.68019
19,26.03,1,northwest,yes,male,26.03,16450.8947
59,29.7,2,southeast,no,male,0.0,12925.886
30,35.53,0,southeast,yes,male,35.53,36950.2567
20,30.59,0,northeast,no,female,0.0,2459.7201
64,33.88,0,southeast,yes,male,33.88,46889.2612
34,42.13,2,southeast,no,male,0.0,5124.1887
18,38.28,0,southeast,no,female,0.0,14133.03775
35,27.7,3,southwest,no,female,0.0,6414.178
18,30.03,1,southeast,no,male,0.0,1720.3537
25,24.13,0,northwest,yes,male,24.13,15817.9857
62,33.2,0,southwest,no,female,0.0,13462.52
21,22.3,1,southwest,no,male,0.0,2103.08
54,30.8,3,southwest,no,female,0.0,12105.32
55,33.0,0,southeast,no,male,0.0,20781.48892
58,36.48,0,northwest,no,female,0.0,12235.8392
38,38.39,3,southeast,yes,male,38.39,41949.2441
56,33.82,2,northwest,no,female,0.0,12643.3778
48,24.42,0,southeast,yes,male,24.42,21223.6758
41,32.6,3,southwest,no,female,0.0,7954.517
63,39.8,3,southwest,no,male,0.0,15170.069
30,31.4,1,southwest,no,male,0.0,3659.346
46,27.72,1,southeast,no,female,0.0,8232.6388
45,28.7,2,southwest,no,male,0.0,8027.968
60,33.11,3,southeast,no,male,0.0,13919.8229
55,21.5,1,southwest,no,male,0.0,10791.96
25,41.325,0,northeast,no,female,0.0,17878.90068
56,39.6,0,southwest,no,male,0.0,10601.412
60,27.55,0,northeast,no,female,0.0,13217.0945
58,34.865,0,northeast,no,male,0.0,11944.59435
34,32.8,1,southwest,no,male,0.0,14358.36437
19,30.25,0,southeast,yes,male,30.25,32548.3405
41,33.55,0,southeast,no,male,0.0,5699.8375
24,23.655,0,northwest,no,male,0.0,2352.96845
28,26.51,2,southeast,no,female,0.0,4340.4409
51,39.7,1,southwest,no,male,0.0,9391.346
47,36.08,1,southeast,yes,male,36.08,42211.1382
46,28.9,2,southwest,no,female,0.0,8823.279
63,26.22,0,northwest,no,female,0.0,14256.1928
38,19.95,2,northeast,no,female,0.0,7133.9025
28,26.315,3,northwest,no,female,0.0,5312.16985
25,26.8,3,southwest,no,male,0.0,3906.127
18,30.115,0,northeast,no,female,0.0,2203.47185
45,27.645,1,northwest,no,female,0.0,28340.18885
38,28.27,1,southeast,no,male,0.0,5484.4673
18,31.35,0,southeast,no,female,0.0,1622.1885
50,33.7,4,southwest,no,female,0.0,11299.343
46,27.74,0,northwest,no,female,0.0,8026.6666
34,27.0,2,southwest,no,male,0.0,11737.84884
19,23.4,2,southwest,no,female,0.0,2913.569
51,25.8,1,southwest,no,female,0.0,9861.025
24,33.99,0,southeast,no,female,0.0,2473.3341
35,34.105,3,northwest,yes,female,34.105,39983.42595
18,38.17,0,southeast,yes,male,38.17,36307.7983
51,38.06,0,southeast,yes,female,38.06,44400.4064
28,33.4,0,southwest,no,female,0.0,3172.018
46,26.62,1,southeast,no,male,0.0,7742.1098
41,31.02,0,southeast,no,female,0.0,6185.3208
20,33.3,0,southwest,no,female,0.0,1880.487
43,25.27,1,northeast,yes,female,25.27,21771.3423
41,23.94,1,northeast,no,male,0.0,6858.4796
40,19.8,1,southeast,yes,male,19.8,17179.522
45,36.48,2,northwest,yes,male,36.48,42760.5022
36,29.92,1,southeast,no,female,0.0,5478.0368
60,30.5,0,southwest,no,female,0.0,12638.195
34,37.335,2,northwest,no,female,0.0,5989.52365
49,22.61,1,northwest,no,female,0.0,9566.9909
49,33.345,2,northeast,no,female,0.0,10370.91255
44,20.235,1,northeast,yes,female,20.235,19594.80965
57,43.7,1,southwest,no,male,0.0,11576.13
33,42.94,3,northwest,no,female,0.0,6360.9936
30,24.13,1,northwest,no,male,0.0,4032.2407
21,17.4,1,southwest,no,female,0.0,2585.269
56,28.785,0,northeast,no,female,0.0,11658.37915
39,28.3,1,southwest,yes,male,28.3,21082.16
55,32.67,1,southeast,no,male,0.0,10807.4863
52,30.2,1,southwest,no,male,0.0,9724.53
26,40.185,0,northwest,no,female,0.0,3201.24515
25,25.84,1,northeast,no,male,0.0,3309.7926
42,26.9,0,southwest,no,male,0.0,5969.723
48,22.8,0,southwest,no,female,0.0,8269.044
46,30.8,3,southwest,no,female,0.0,9414.92
51,24.795,2,northwest,yes,male,24.795,23967.38305
64,33.8,1,southwest,yes,female,33.8,47928.03
58,29.0,0,southwest,no,female,0.0,11842.442
44,27.645,0,northwest,no,female,0.0,7421.19455
61,38.38,0,northwest,no,male,0.0,12950.0712
48,41.23,4,northwest,no,female,0.0,11033.6617
38,34.7,2,southwest,no,male,0.0,6082.405
32,41.1,0,southwest,no,female,0.0,3989.841
38,30.21,3,northwest,no,female,0.0,7537.1639
26,23.7,2,southwest,no,male,0.0,3484.331
49,30.3,0,southwest,no,male,0.0,8116.68
32,23.65,1,southeast,no,female,0.0,17626.23951
58,25.2,0,southwest,no,female,0.0,11837.16
50,44.745,0,northeast,no,female,0.0,9541.69555
36,29.7,0,southeast,no,male,0.0,4399.731
18,28.215,0,northeast,no,female,0.0,2200.83085
58,36.08,0,southeast,no,male,0.0,11363.2832
20,22.0,1,southwest,no,male,0.0,1964.78
61,31.16,0,northwest,no,female,0.0,13429.0354
46,27.6,0,southwest,no,male,0.0,24603.04837
54,31.9,3,southeast,no,female,0.0,27322.73386
55,30.685,0,northeast,yes,male,30.685,42303.69215
25,45.54,2,southeast,yes,male,45.54,42112.2356
47,36.19,0,southeast,yes,male,36.19,41676.0811
32,29.59,1,southeast,no,female,0.0,4562.8421
26,32.49,1,northeast,no,male,0.0,3490.5491
55,40.81,3,southeast,no,female,0.0,12485.8009
36,28.88,3,northeast,no,male,0.0,6748.5912
43,46.2,0,southeast,yes,female,46.2,45863.205
22,36.0,0,southwest,no,female,0.0,2166.732
38,29.26,2,northwest,no,male,0.0,6457.8434
54,23.0,3,southwest,no,female,0.0,12094.478
42,24.64,0,southeast,yes,male,24.64,19515.5416
20,30.115,5,northeast,no,male,0.0,4915.05985
25,27.55,0,northwest,no,male,0.0,2523.1695
57,40.945,0,northeast,no,male,0.0,11566.30055
25,24.985,2,northeast,no,male,0.0,23241.47453
32,30.03,1,southeast,no,male,0.0,4074.4537
40,34.105,1,northeast,no,male,0.0,6600.20595
19,20.7,0,southwest,no,male,0.0,1242.816
35,24.42,3,southeast,yes,male,24.42,19361.9988
45,23.56,2,northeast,no,male,0.0,8603.8234
33,38.9,3,southwest,no,female,0.0,5972.378
28,33.11,0,southeast,no,female,0.0,3171.6149
33,32.9,2,southwest,no,female,0.0,5375.038
57,25.74,2,southeast,no,female,0.0,12629.1656
33,27.1,1,southwest,yes,male,27.1,19040.876
44,29.81,2,southeast,no,female,0.0,8219.2039
45,35.3,0,southwest,no,female,0.0,7348.142
31,31.065,0,northeast,no,female,0.0,4347.02335
34,19.0,3,northeast,no,female,0.0,6753.038
24,22.6,0,southwest,no,female,0.0,2457.502
38,30.69,1,southeast,no,female,0.0,5976.8311
43,35.31,2,southeast,no,male,0.0,18806.14547
56,25.3,0,southwest,no,female,0.0,11070.535
53,21.4,1,southwest,no,male,0.0,10065.413
26,29.64,4,northeast,no,female,0.0,24671.66334
23,32.56,0,southeast,no,male,0.0,1824.2854
43,25.08,0,northeast,no,female,0.0,7325.0482
39,35.3,2,southwest,yes,male,35.3,40103.89
45,30.495,1,northwest,yes,female,30.495,39725.51805
19,32.9,0,southwest,no,female,0.0,1748.774
60,39.9,0,southwest,yes,male,39.9,48173.361
22,35.6,0,southwest,yes,male,35.6,35585.576
55,26.8,1,southwest,no,female,0.0,35160.13457
19,35.4,0,southwest,no,male,0.0,1263.249
62,39.93,0,southeast,no,male,0.0,12982.8747
19,34.1,0,southwest,no,male,0.0,1261.442
50,26.6,0,southwest,no,male,0.0,8444.474
25,33.33,2,southeast,yes,male,33.33,36124.5737
63,33.66,3,southeast,no,male,0.0,15161.5344
50,30.97,3,northwest,no,male,0.0,10600.5483
40,29.355,1,northwest,no,male,0.0,6393.60345
59,28.785,0,northwest,no,male,0.0,12129.61415
23,24.225,2,northeast,no,female,0.0,22395.74424
46,40.375,2,northwest,no,male,0.0,8733.22925
33,22.705,0,northwest,no,male,0.0,21984.47061
55,29.7,2,southwest,no,female,0.0,11881.358
50,30.115,1,northwest,no,female,0.0,9910.35985
36,22.135,3,northeast,no,female,0.0,7228.21565
23,50.38,1,southeast,no,male,0.0,2438.0552
32,29.735,0,northwest,no,female,0.0,4357.04365
43,30.115,3,northwest,no,male,0.0,8410.04685
38,31.0,1,southwest,no,male,0.0,5488.262
39,24.89,3,northeast,yes,female,24.89,21659.9301
55,33.535,2,northwest,no,female,0.0,12269.68865
20,29.735,0,northwest,no,male,0.0,1769.53165
41,30.78,3,northeast,yes,male,30.78,39597.4072
27,31.4,0,southwest,yes,female,31.4,34838.873
26,29.45,0,northeast,no,male,0.0,2897.3235
18,43.01,0,southeast,no,male,0.0,1149.3959
39,18.3,5,southwest,yes,female,18.3,19023.26
32,37.335,1,northeast,no,male,0.0,4667.60765
57,33.63,1,northwest,no,male,0.0,11945.1327
54,24.605,3,northwest,no,female,0.0,12479.70895
31,25.74,0,southeast,no,female,0.0,3756.6216
41,31.6,0,southwest,no,female,0.0,6186.127
48,30.2,2,southwest,no,male,0.0,8968.33
21,36.86,0,northwest,no,male,0.0,1917.3184
24,29.3,0,southwest,no,male,0.0,1977.815
23,34.96,3,northwest,no,female,0.0,4466.6214
19,36.575,0,northwest,no,female,0.0,2136.88225
25,30.59,0,northeast,no,male,0.0,2727.3951
47,28.215,3,northwest,yes,male,28.215,24915.22085
44,36.48,0,northeast,no,female,0.0,12797.20962
37,34.1,4,southwest,yes,male,34.1,40182.246
22,30.4,0,northwest,yes,female,30.4,33907.548
61,43.4,0,southwest,no,male,0.0,12574.049
58,41.91,0,southeast,no,female,0.0,24227.33724
29,31.73,2,northwest,no,male,0.0,4433.3877
53,39.6,1,southeast,no,female,0.0,10579.711
42,35.8,2,southwest,no,male,0.0,7160.094
52,31.73,2,northwest,no,female,0.0,11187.6567
61,39.1,2,southwest,no,female,0.0,14235.072
53,30.495,0,northeast,no,male,0.0,10072.05505
40,26.315,1,northwest,no,male,0.0,6389.37785
51,40.66,0,northeast,no,female,0.0,9875.6804
40,30.875,4,northwest,no,male,0.0,8162.71625
23,34.4,0,southwest,no,male,0.0,1826.843
53,36.1,1,southwest,no,male,0.0,10085.846
33,26.695,0,northwest,no,female,0.0,4571.41305
48,28.88,1,northwest,no,female,0.0,9249.4952
62,36.86,1,northeast,no,female,0.0,31620.00106
18,25.46,0,northeast,no,male,0.0,1708.0014
53,29.48,0,southeast,no,male,0.0,9487.6442
18,27.28,3,southeast,yes,female,27.28,18223.4512
60,24.32,0,northwest,no,male,0.0,12523.6048
59,41.14,1,southeast,yes,male,41.14,48970.2476
37,38.39,0,southeast,yes,female,38.39,40419.0191
46,39.425,1,northeast,no,male,0.0,8342.90875
35,17.86,1,northwest,no,male,0.0,5116.5004
23,32.78,2,southeast,yes,female,32.78,36021.0112
19,19.8,0,southwest,no,male,0.0,1241.565
18,42.24,0,southeast,yes,female,42.24,38792.6856
50,27.455,1,northeast,no,male,0.0,9617.66245
25,23.465,0,northeast,no,female,0.0,3206.49135
19,21.7,0,southwest,yes,female,21.7,13844.506
28,33.0,3,southeast,no,male,0.0,4449.462
46,33.44,1,southeast,no,female,0.0,8240.5896
19,24.7,0,southwest,no,female,0.0,1737.376
24,33.63,4,northeast,no,male,0.0,17128.42608
31,31.065,3,northwest,no,male,0.0,5425.02335
41,37.1,2,southwest,no,female,0.0,7371.772
25,28.595,0,northeast,no,female,0.0,3213.62205
55,32.775,2,northwest,no,female,0.0,12268.63225
45,31.79,0,southeast,no,female,0.0,17929.30337
46,23.655,1,northwest,yes,female,23.655,21677.28345
61,35.91,0,northeast,no,female,0.0,13635.6379
42,24.86,0,southeast,no,male,0.0,5966.8874
33,24.605,2,northwest,no,male,0.0,5257.50795
49,23.18,2,northwest,no,female,0.0,10156.7832
56,33.63,0,northwest,yes,male,33.63,43921.1837
59,27.72,3,southeast,no,female,0.0,14001.1338
60,25.74,0,southeast,no,male,0.0,12142.5786
28,34.77,0,northwest,no,female,0.0,3556.9223
19,28.4,1,southwest,no,female,0.0,2331.519
45,27.5,3,southwest,no,male,0.0,8615.3
58,36.955,2,northwest,yes,male,36.955,47496.49445
58,32.965,0,northeast,no,female,0.0,12430.95335
34,26.73,1,southeast,no,female,0.0,5002.7827
44,37.1,2,southwest,no,male,0.0,7740.337
41,35.75,1,southeast,yes,male,35.75,40273.6455
18,33.33,0,southeast,no,male,0.0,1135.9407
53,28.1,3,southwest,no,female,0.0,11741.726
58,38.0,0,southwest,no,male,0.0,11365.952
45,39.995,3,northeast,no,female,0.0,9704.66805
55,37.3,0,southwest,no,male,0.0,20630.28351
29,21.85,0,northeast,yes,female,21.85,16115.3045
38,37.73,0,southeast,no,female,0.0,5397.6167
18,26.18,2,southeast,no,male,0.0,2304.0022
57,23.7,0,southwest,no,male,0.0,10959.33
39,26.41,0,northeast,yes,male,26.41,20149.3229
37,36.19,0,southeast,no,male,0.0,19214.70553
30,28.38,1,southeast,yes,female,28.38,19521.9682
51,34.96,2,northeast,yes,female,34.96,44641.1974
50,32.3,2,southwest,no,male,0.0,9630.397
37,34.105,1,northwest,no,female,0.0,6112.35295
43,27.36,3,northeast,no,male,0.0,8606.2174
59,29.83,3,northeast,yes,male,29.83,30184.9367
60,32.8,0,southwest,yes,male,32.8,52590.82939
18,34.43,0,southeast,no,male,0.0,1137.4697
40,28.12,1,northeast,yes,female,28.12,22331.5668
18,20.79,0,southeast,no,female,0.0,1607.5101
31,30.875,0,northeast,no,male,0.0,3857.75925
55,35.2,0,southeast,yes,female,35.2,44423.803
47,19.19,1,northeast,no,male,0.0,8627.5411
22,19.95,3,northeast,no,male,0.0,4005.4225
54,33.63,1,northwest,no,male,0.0,10825.2537
50,26.22,2,northwest,no,female,0.0,10493.9458
30,21.945,1,northeast,no,female,0.0,4718.20355
46,22.3,0,southwest,no,male,0.0,7147.105
54,31.24,0,southeast,no,female,0.0,10338.9316
28,29.26,2,northeast,no,male,0.0,4438.2634
49,25.84,2,northwest,yes,male,25.84,23807.2406
29,38.94,1,southeast,no,male,0.0,3471.4096
51,36.67,2,northwest,no,female,0.0,10848.1343
50,23.54,2,southeast,no,female,0.0,10107.2206
32,24.6,0,southwest,yes,female,24.6,17496.306
44,26.41,0,northwest,no,female,0.0,7419.4779
22,25.175,0,northwest,no,male,0.0,2045.68525
48,32.3,1,northwest,no,male,0.0,8765.249
31,26.885,1,northeast,no,male,0.0,4441.21315
52,47.74,1,southeast,no,male,0.0,9748.9106
44,25.8,1,southwest,no,female,0.0,7624.63
20,31.79,2,southeast,no,female,0.0,3056.3881
42,29.48,2,southeast,no,female,0.0,7640.3092
63,41.325,3,northwest,no,male,0.0,15555.18875
47,28.215,4,northeast,no,male,0.0,10407.08585
19,20.9,1,southwest,no,male,0.0,1832.094
30,33.33,1,southeast,no,female,0.0,4151.0287
42,31.255,0,northwest,no,male,0.0,6358.77645
38,28.0,3,southwest,no,female,0.0,7151.092
43,35.72,2,northeast,no,female,0.0,19144.57652
55,38.28,0,southeast,no,male,0.0,10226.2842
44,30.2,2,southwest,yes,male,30.2,38998.546
18,40.26,0,southeast,no,female,0.0,1634.5734
24,32.7,0,southwest,yes,male,32.7,34472.841
18,23.21,0,southeast,no,male,0.0,1121.8739
46,35.53,0,northeast,yes,female,35.53,42111.6647
19,30.02,0,northwest,yes,female,30.02,33307.5508
47,29.545,1,northwest,no,female,0.0,8930.93455
52,33.3,2,southwest,no,female,0.0,10806.839
56,37.51,2,southeast,no,female,0.0,12265.5069
25,33.99,1,southeast,no,female,0.0,3227.1211
26,22.61,0,northwest,no,female,0.0,3176.8159
40,22.22,2,southeast,yes,female,22.22,19444.2658
48,36.575,0,northwest,no,female,0.0,8671.19125
39,34.1,3,southwest,no,female,0.0,7418.522
29,33.345,2,northwest,no,male,0.0,19442.3535
43,34.96,1,northeast,yes,male,34.96,41034.2214
57,31.54,0,northwest,no,male,0.0,11353.2276
29,28.975,1,northeast,no,male,0.0,4040.55825
18,40.185,0,northeast,no,female,0.0,2217.46915
43,23.2,0,southwest,no,male,0.0,6250.435
31,28.5,5,northeast,no,male,0.0,6799.458
64,31.3,2,southwest,yes,female,31.3,47291.055
60,31.35,3,northwest,yes,male,31.35,46130.5265
63,28.31,0,northwest,no,male,0.0,13770.0979
61,36.3,1,southwest,yes,male,36.3,47403.88
40,29.6,0,southwest,no,female,0.0,5910.944
45,33.1,0,southwest,no,female,0.0,7345.084
